Angle_deg,Ideal_dB,Uncalibrated_dB,LS_Calibrated_dB,WLS_Calibrated_dB
-90.0,-324.2603828788486,-12.771573035007656,-22.2638799978751,-22.08201623306739
-89.55,-86.29465181128859,-12.769921010166875,-22.2681078031145,-22.08621052352701
-89.1,-74.2535865950043,-12.764967430400553,-22.280796146480565,-22.098798757106085
-88.65,-67.21016235069841,-12.756719773670067,-22.30195969779867,-22.119796924770494
-88.2,-62.212933162713774,-12.745190482253914,-22.33162252362444,-22.149231353926957
-87.75,-58.33695078707045,-12.730396931371837,-22.369817490898786,-22.18713820287914
-87.3,-55.17022172610899,-12.71236138547806,-22.416585387762687,-22.233562713604652
-86.85,-52.492979382636605,-12.691110942443167,-22.47197371468222,-22.28855818105138
-86.4,-50.17404608552531,-12.666677465906114,-22.536035081894262,-22.352184581749004
-85.95,-48.12881304219068,-12.63909750613966,-22.608825129026325,-22.424506786328816
-85.5,-46.299513529834584,-12.608412209833773,-22.690399858683854,-22.505592258692808
-85.05,-44.644948520156944,-12.574667219261409,-22.78081224683946,-22.59550811809593
-84.6,-43.13470184428374,-12.537912561349504,-22.88010795789766,-22.694317408188745
-84.15,-41.74567883562346,-12.498202527234719,-22.98831995017511,-22.802074377871687
-83.7,-40.45993138283127,-12.455595542937258,-23.105461707082835,-22.91881853132475
-83.25,-39.263235164679855,-12.410154031837388,-23.231518769573825,-23.044567147522695
-82.8,-38.14412699986979,-12.361944269685708,-23.36643817600564,-23.179305901922742
-82.35,-37.09323454924461,-12.311036232921618,-23.510115337109294,-23.322977144486714
-81.9,-36.102797900404674,-12.257503441111655,-23.662377788896194,-23.47546529982738
-81.45,-35.166320673877316,-12.201422794351576,-23.82296518112583,-23.636578760620296
-81.0,-34.278310724764964,-12.142874406501852,-23.991504785073285,-23.806027552420346
-80.55,-33.43408417365923,-12.081941435145584,-24.167481762272413,-23.983395971693025
-80.1,-32.62961506738207,-12.018709909170152,-24.350203459455933,-24.168109365388016
-79.65,-31.86141848533125,-11.953268554878731,-24.538757136875983,-24.359394272603545
-79.2,-31.126458541788086,-11.885708621536068,-24.731960875863322,-24.556231353327213
-78.75,-30.422075180513332,-11.816123707242976,-24.92830805604004,-24.757300983549516
-78.3,-29.745925335506676,-11.744609586017509,-25.125906883197896,-24.960922234268743
-77.85,-29.09593520228009,-11.671264036937528,-25.322418143455,-25.164987341461256
-77.4,-28.470261193563992,-11.596186676169026,-25.514996793888365,-25.366895893256082
-76.95,-27.86725774982669,-11.519478792669155,-25.700246204223376,-25.563495938752666
-76.5,-27.285450609531495,-11.441243188311752,-25.874197617609358,-25.751043022106245
-76.05,-26.723514464514537,-11.361584023137414,-26.03233102954304,-25.925192368286503
-75.6,-26.180254164869424,-11.280606666380757,-26.1696558734156,-26.08104309313901
-75.15,-25.65458881785135,-11.198417553875368,-26.280868643036822,-26.213254586824508
-74.7,-25.145538262387184,-11.115124052382113,-26.36059755999186,-26.31625163426911
-74.25,-24.652211506050364,-11.030834331330958,-26.403730016387343,-26.384523903100103
-73.8,-24.17379679288857,-10.945657242409894,-26.40579756364285,-26.413006189552846
-73.35,-23.70955303414718,-10.859702207379364,-26.3633702944664,-26.39750081575174
-72.9,-23.25880238399307,-10.773079114435301,-26.274395924959023,-26.33508004277626
-72.45,-22.82092378200192,-10.68589822339118,-26.138417841266516,-26.224394741118484
-72.0,-22.395347315797185,-10.598270079899839,-25.95662552013534,-26.065824652513996
-71.55,-21.981549282598838,-10.51030543888777,-25.73172609528756,-25.861436474620728
-71.1,-21.57904784892572,-10.422115197331912,-25.467665310525916,-25.61475931996535
-70.65,-21.187399224319293,-10.333810336468998,-25.169255382096026,-25.330426842249864
-70.2,-20.80619427852651,-10.245501873492806,-24.84177742379043,-25.013757432036883
-69.75,-20.435055542710007,-10.157300822764462,-24.49061721724655,-24.67034339921622
-69.3,-20.07363454442874,-10.069318166535613,-24.120972561665845,-24.305702021534913
-68.85,-19.721609433729,-9.981664835164189,-23.737647541097424,-23.925016014920388
-68.4,-19.378682864007747,-9.894451696787797,-23.3449306824189,-23.532967841297754
-67.95,-19.044580096588447,-9.807789556410135,-22.946542941271353,-23.13365652291667
-67.5,-18.719047302380222,-9.721789164351918,-22.545637253651943,-22.730578095520233
-67.05,-18.401850037720926,-9.636561234018995,-22.144831941440692,-22.326649659239884
-66.6,-18.092771874659228,-9.55221646894708,-21.746263296830215,-21.924259549314694
-66.15,-17.791613168608478,-9.468865599094645,-21.351646476453222,-21.525330212698538
-65.7,-17.49818994858559,-9.38661942637299,-20.962337397521015,-21.13138449963213
-65.25,-17.212332917199358,-9.305588879425294,-20.57939120029698,-20.743609549405257
-64.8,-16.93388654922691,-9.225885077694931,-20.203614935803714,-20.362915051293385
-64.35,-16.66270827905979,-9.147619404856885,-19.83561354559111,-19.989984447811764
-63.9,-16.39866776854941,-9.070903591725594,-19.475829074693717,-19.62531877892531
-63.45,-16.14164624786585,-8.995849808797782,-19.124573552625645,-19.269273520975496
-63.0,-15.891535922929705,-8.922570768639792,-18.782056217440413,-18.922089107255186
-62.55,-15.64823944380575,-8.851179838386564,-18.448405839572874,-18.58391594654241
-62.099999999999994,-15.411669429177298,-8.781791162683488,-18.123688891608317,-18.254834764951053
-61.65,-15.181748042667415,-8.714519797473873,-17.807924250913786,-17.934873040640124
-61.2,-14.958406617349436,-8.649481855113812,-17.50109504149316,-17.624018215181696
-60.75,-14.741585325307156,-8.586794661384353,-17.20315813562293,-17.322228270544564
-60.3,-14.53123288957402,-8.5265769250681,-16.914051753658747,-17.029440168286055
-59.849999999999994,-14.327306336207732,-8.46894892086549,-16.633701526211386,-16.745576563451642
-59.4,-14.129770784652173,-8.414032686545864,-16.362025318314988,-16.470551132194473
-58.95,-13.938599274906704,-8.361952235362144,-16.09893706035886,-16.20427278960833
-58.5,-13.753772630371191,-8.31283378490659,-15.844349784749966,-15.946649022056743
-58.05,-13.575279355568941,-8.266806003751427,-15.59817802948688,-15.697588515246682
-57.6,-13.403115568274444,-8.224000277404572,-15.360339738929374,-15.457003224160015
-57.15,-13.237284965893878,-8.184550995319938,-15.130757766951257,-15.224810002469873
-56.699999999999996,-13.077798826268811,-8.148595860937682,-14.909361067380384,-15.000931886094895
-56.25,-12.924676043402917,-8.116276226996327,-14.696085640300767,-14.785299107091038
-55.8,-12.777943198952501,-8.08773745866038,-14.490875289688258,-14.577849899306798
-55.35,-12.637634670682495,-8.063129327350687,-14.293682237371584,-14.37853114543752
-54.9,-12.503792779473175,-8.042606438555465,-14.104467629951165,-14.18729890573081
-54.449999999999996,-12.37646797687987,-8.026328697347257,-13.923201968670096,-14.004118861155892
-54.0,-12.255719075704556,-8.014461815843712,-13.749865486984984,-13.828966697979082
-53.55,-12.141613526543866,-8.007177867439228,-13.584448496467488,-13.661828456084448
-53.1,-12.034227743844676,-8.004655893314279,-13.426951718473525,-13.502700859806993
-52.65,-11.933647485636772,-8.00708256751492,-13.277386616578768,-13.351591647314148
-52.199999999999996,-11.839968291839575,-8.014652927806761,-13.13577574297041,-13.20851991253633
-51.75,-11.753295986871688,-8.027571180567868,-13.002153110703388,-13.073516472191272
-51.3,-11.673747253251541,-8.04605158922241,-12.876564602902095,-12.946624269486545
-50.85,-11.60145028398928,-8.070319457164798,-12.759068429559141,-12.827898825555245
-50.4,-11.53654552286547,-8.100612217823715,-12.649735642515221,-12.717408749538087
-49.949999999999996,-11.479186503209728,-8.137180646517207,-12.548650719476795,-12.615236318445028
-49.5,-11.429540797577957,-8.180290211114343,-12.455912228533332,-12.521478138499267
-49.05,-11.38779109283796,-8.230222581321511,-12.371633585580417,-12.43624590059057
-48.6,-11.354136407680954,-8.287277319743673,-12.29594391835958,-12.359667243761734
-48.15,-11.328793472568524,-8.35177378184681,-12.228989052524684,-12.291886742355615
-47.699999999999996,-11.311998295711659,-8.42405325670785,-12.170932637291305,-12.233067034612283
-47.25,-11.304007942998663,-8.504481386157305,-12.121957430889214,-12.183390113197428
-46.8,-11.305102565017705,-8.59345090681514,-12.08226676931485,-12.143058801459848
-46.35,-11.315587710679317,-8.691384767863912,-12.052086245891376,-12.112298443281109
-45.9,-11.335796974719974,-8.798739687536102,-12.031665634047988,-12.091358839355625
-45.449999999999996,-11.366095035925628,-8.916010223641827,-12.021281091730899,-12.08051646883156
-45.0,-11.406881154729138,-9.043733448568865,-12.021237693217335,-12.080077042718385
-44.55,-11.458593213526962,-9.182494337726549,-12.031872343160337,-12.090378444671469
-44.1,-11.521712401443068,-9.332932003235442,-12.053557138882683,-12.111794126143412
-43.65,-11.596768668419417,-9.495746932862097,-12.086703260834975,-12.144737037029564
-43.199999999999996,-11.684347102873948,-9.671709429114093,-12.131765488482888,-12.189664190594861
-42.75,-11.785095424677763,-9.861669486727259,-12.189247460678011,-12.247081983658797
-42.3,-11.899732833502295,-10.066568400565679,-12.259707827107615,-12.31755242107689
-41.85,-12.029060515295972,-10.287452462708169,-12.343767472466338,-12.40170042928731
-41.4,-12.173974191794539,-10.525489190105318,-12.442118039920738,-12.500222489521493
-40.949999999999996,-12.33547920660179,-10.781986625778778,-12.555532038480113,-12.61389688052308
-40.5,-12.514708786513557,-11.058416379966092,-12.68487489449781,-12.74359589784902
-40.05,-12.712946312804318,-11.356441224348146,-12.83111940689719,-12.890300518397215
-39.6,-12.931652705170753,-11.677948220060872,-12.995363197554617,-13.055118113665841
-39.15,-13.172500392052545,-12.02508853683317,-13.178849924961993,-13.239303996138823
-38.699999999999996,-13.437415861971662,-12.400325274113657,-13.382995268673854,-13.44428782847986
-38.25,-13.72863353311806,-12.806490649624005,-13.609419020158281,-13.671706261743541
-37.8,-14.04876475476746,-13.24685370855784,-13.859985071069525,-13.923443636362283
-37.35,-14.400887343120166,-13.725198865820065,-14.13685173060383,-14.201683238128355
-36.9,-14.78866344796687,-14.245913350930667,-14.442535718061515,-14.508972542399283
-36.449999999999996,-15.216497234981937,-14.814076324145232,-14.779994502768117,-14.848307246031851
-36.0,-15.689749696510919,-15.435530495878924,-15.15273361940899,-15.223240904614915
-35.55,-16.215037377784025,-16.11689069800687,-15.56494852557706,-15.63803002927241
-35.1,-16.80065771090639,-16.865385794557536,-16.021715072964945,-16.097829159637314
-34.65,-17.457211356511998,-17.68830248922832,-16.529249719060342,-16.608957744723874
-34.199999999999996,-18.198542331154933,-18.591519397260846,-17.0952719150037,-17.179272410103398
-33.75,-19.043213017399854,-19.576021489359196,-17.72951967795858,-17.818697518343356
-33.3,-20.016926678720374,-20.630117121635827,-18.44450062251637,-18.539999528583316
-32.85,-21.1567370034663,-21.713411610018728,-19.256614588746356,-19.359946906096514
-32.4,-22.518904849518893,-22.72923067773512,-20.187878306850106,-20.301095855296186
-31.949999999999996,-24.195005188013923,-23.497610944143105,-21.26864676607579,-21.39461328399037
-31.5,-26.349518076047996,-23.78674120836973,-22.541990718334198,-22.684820458235606
-31.049999999999997,-29.326287439446553,-23.461571266008377,-24.070658242288907,-24.236388194216396
-30.6,-34.06886945517157,-22.61256241777929,-25.946630498810087,-26.143927063075914
-30.15,-45.99498809703233,-21.466462505448135,-28.291723085835812,-28.529975127775558
-29.699999999999996,-39.86241199973857,-20.221123137167826,-31.14298894307508,-31.40637311560241
-29.25,-31.794748197280555,-18.98993450556678,-33.583478127453475,-33.69761114443604
-28.799999999999997,-27.606605346500977,-17.82293184267672,-32.789139016963816,-32.60798533689434
-28.35,-24.737936810972055,-16.7363911369755,-29.714509420318148,-29.492435090924708
-27.9,-22.543752361931503,-15.731269775478054,-26.77977432820708,-26.598588684744794
-27.449999999999996,-20.761003161786064,-14.802404180562956,-24.371697969241886,-24.228480074603254
-27.0,-19.256205269562138,-13.942687968516978,-22.38904500343168,-22.273705288348644
-26.549999999999997,-17.95223656889348,-13.144855614875329,-20.718009924146944,-20.62295098163495
-26.1,-16.800488687045576,-12.402179942052152,-19.27781882456032,-19.19787806242917
-25.64999999999999,-15.768342338064176,-11.708691105405059,-18.013517492974735,-17.945165580539204
-25.200000000000003,-14.832844016375045,-11.059192719558633,-16.887072650742496,-16.827831922533118
-24.75,-13.977229267791706,-10.449198825194618,-15.871410101381574,-15.819490136558107
-24.299999999999997,-13.188881031970322,-9.874846374188438,-14.946705067636973,-14.900776904788662
-23.849999999999994,-12.458066134382992,-9.332806545942645,-14.098064504669923,-14.057118002606597
-23.39999999999999,-11.777119103052216,-8.820203991869269,-13.314045108521263,-13.277296368534765
-22.950000000000003,-11.139895771613391,-8.334546754292798,-12.585679368298255,-12.552508964246673
-22.5,-10.541396261150526,-7.8736668797586775,-11.905817995592587,-11.875728671743037
-22.049999999999997,-9.977497995777208,-7.435670685689434,-11.26867468085917,-11.24126168328946
-21.599999999999994,-9.444762332444142,-7.018897330095161,-10.669503646465818,-10.644433461882027
-21.14999999999999,-8.940291716663305,-6.62188434915079,-10.104366505135054,-10.081361326111669
-20.700000000000003,-8.46162230616298,-6.243338967980678,-9.569960532378294,-9.548786706569754
-20.25,-8.00664199332703,-5.882114165362037,-9.063490041470143,-9.043949346570527
-19.799999999999997,-7.573526942208984,-5.537188644101882,-8.582568575238277,-8.564491533698055
-19.349999999999994,-7.160691839123575,-5.2076500105669865,-8.125143505651709,-8.108384195530302
-18.89999999999999,-6.766750448339404,-4.892680595346943,-7.689437179290523,-7.673869158646517
-18.450000000000003,-6.390484013629038,-4.591545453186648,-7.273900453169194,-7.259413524376452
-18.0,-6.030815705075435,-4.303582166827395,-6.877175629279057,-6.8636732447008155
-17.549999999999997,-5.686789774986936,-4.028192149367246,-6.498066603361133,-6.485463766311781
-17.099999999999994,-5.357554419164181,-3.764833196155049,-6.135514611809033,-6.123736164000935
-16.64999999999999,-5.04234758089055,-3.513013082655443,-5.788578366574642,-5.777557580064883
-16.200000000000003,-4.740485112139552,-3.2722840413249537,-5.456417661750738,-5.446095072944849
-15.75,-4.451350838110163,-3.0422379800854222,-5.138279750738155,-5.128602188416255
-15.299999999999997,-4.174388170059207,-2.822502328889861,-4.833487952381738,-4.824407722452181
-14.849999999999994,-3.909092986394027,-2.6127364202783205,-4.5414320638786725,-4.532906261651128
-14.399999999999991,-3.655007559412473,-2.412628325619211,-4.261560248576123,-4.253550175493882
-13.950000000000003,-3.41171534942945,-2.2218920816379377,-3.9933721357104144,-3.9858428021969745
-13.5,-3.17883652256558,-2.0402652524165275,-3.736412922215928,-3.7293326219380245
-13.049999999999997,-2.9560240755731977,-1.8675067807556087,-3.490268307932243,-3.4836082516247617
-12.599999999999994,-2.7429604724917915,-1.7033950899813508,-3.2545601277651452,-3.2482941269962575
-12.149999999999991,-2.5393547149668967,-1.5477264032407647,-3.028942569749286,-3.023046762770197
-11.700000000000003,-2.344939781713652,-1.4003132522872273,-2.8130988881034362,-2.8075515013331187
-11.25,-2.1594703836016134,-1.2609831518978043,-2.6067385364524425,-2.6015196762741803
-10.799999999999997,-1.982720989747835,-1.1295774195321975,-2.409594659310564,-2.404686129764885
-10.349999999999994,-1.8144840872649024,-1.005950122758811,-2.221421890360705,-2.2168070330550997
-9.899999999999991,-1.654568643257406,-0.889967139433627,-2.041994414547087,-2.037657967702398
-9.450000000000003,-1.5027987425550926,-0.7815053176998308,-1.8711042579277017,-1.8670322319722281
-9.0,-1.3590123787197212,-0.6804517246451087,-1.7085597749211563,-1.7047393424476103
-8.549999999999997,-1.2230603792271564,-0.5867029739613401,-1.5541843072750383,-1.5506037055099056
-8.099999999999994,-1.0948054485340426,-0.5001646242407707,-1.4078149929717902,-1.4044634371842184
-7.6499999999999915,-0.9741213150926706,-0.4207506406497976,-1.2693017065256218,-1.2661693130347975
-7.200000000000003,-0.8608919703592767,-0.34838291367472174,-1.1385061148309914,-1.1355838324651122
-6.75,-0.7550109895162804,-0.2829908294582027,-1.0153008349959776,-1.012580384019302
-6.299999999999997,-0.6563809250511949,-0.22451088696065546,-0.8995686825103076,-0.8970425001729252
-5.849999999999994,-0.5649127655471128,-0.17288635780452033,-0.7912019997201147,-0.7888631917021376
-5.3999999999999915,-0.48052545307747413,-0.1280669852053304,-0.6901020559606007,-0.6879443530823177
-4.950000000000003,-0.40314545348997083,-0.0900087188741541,-0.596178511874845,-0.5941962315297132
-4.5,-0.3327063746350293,-0.05867348320087984,-0.5093489414557816,-0.5075369532964871
-4.049999999999997,-0.26914862826305397,-0.03402897640644672,-0.4295384062168299,-0.4278921016878506
-3.5999999999999943,-0.21241913189787925,-0.016048498690983362,-0.35667907664730536,-0.3551943420123039
-3.1499999999999915,-0.1624710475056992,-0.004710807711302057,-0.2907098967611254,-0.28938308932125517
-2.700000000000003,-0.11926355423044935,0.0,-0.23157628811685976,-0.2304042153578542
-2.25,-0.08276165286813023,-0.0019054171953137244,-0.17922989018717958,-0.17820979163003334
-1.7999999999999972,-0.052936000112391815,-0.010421576189287182,-0.13362833439788088,-0.1327578659605583
-1.3499999999999943,-0.029762770928720806,-0.025548122526770883,-0.09473504954953774,-0.09401227025637471
-0.8999999999999915,-0.013223547711431177,-0.04728980660183159,-0.06251909668758052,-0.06194245758937071
-0.45000000000000284,-0.0033052351516046365,-0.07565648240549154,-0.03695503180525834,-0.03652336699694507
0.0,0.0,-0.11066312878203363,-0.018022795055252547,-0.017735314700143272
0.45000000000000284,-0.0033052351516046365,-0.15232989335386093,-0.005707625414721439,-0.00556391070463497
0.9000000000000057,-0.013223547711433109,-0.20068215947984,0.0,0.0
